STORY,QUERY,TRACK,INDEX
"Songfeng, Jianyuan, and Xuefeng are members of the same group, they need to complete a school project together. Now, the core task of the project comes, everyone wants to take on this important task, but they do not want to overwork themselves. Songfeng looks at Jianyuan, then looks at Xuefeng who is playing with his phone, then he smiles at Jianyuan, he seems to have an idea. Then he goes to the corner of the classroom to get his backpack, then he leaves a small note on Jianyuan's desk as if by accident. He comes back, gives Jianyuan a look, then continues to do his work. Jianyuan sees this note, quickly unfolds it, takes a look, then he also smiles. He looks at Songfeng and says, ""I just have an idea, we do this task together, what do you think?""","<QUESTION>###QUESTION: Why does Songfeng go to the corner of the classroom to get his backpack and leave a note?</QUESTION>
<OPTIONS>###OPTION: A. Songfeng intentionally forgets his things, he wants to use this opportunity to go back to get his backpack, and write down suggestions. B. Songfeng finds out he forgets to submit an important task, so he goes to get his backpack. C. Songfeng uses this method to let Jianyuan know his suggestion, to avoid letting Xuefeng know this is his idea. D. Songfeng goes to get his backpack is just a random act, it has nothing to do with him leaving a note.</OPTIONS>
<QUESTION>###QUESTION: How does Xuefeng feel after hearing Jianyuan's idea?</QUESTION>
<OPTIONS>###OPTION: A. Xuefeng feels happy, because she has a heavy responsibility and looks forward to someone sharing the task with her. B. Xuefeng feels a bit strange, not understanding why she is suddenly excluded from the core members. C. Xuefeng feels very relaxed, because this means she can do less work. D. Xuefeng may be afraid, because she may worry about the cooperation effect with Jianyuan.</OPTIONS>",20-21,10
"Yu Xuan and Xiao Qing are a couple, but recently they have some misunderstandings due to some minor issues, and communication is difficult. On the same day, they both go to the local stall market. The old lady sees Yu Xuan and proposes that they exchange a bouquet of flowers as a symbol of reconciliation. Yu Xuan looks at Xiao Qing, nods secretly, and among various bouquets, he picks a blooming sunflower. The old lady gives him the sunflower, and after he takes it, he looks back at Xiao Qing, but Xiao Qing is looking at other stalls at this time. Yu Xuan silently puts the flowers in her shopping bag.","<QUESTION>###QUESTION: Why does Yu Xuan choose sunflowers?</QUESTION>
<OPTIONS>###OPTION: A. Yu Xuan chooses sunflowers possibly because he knows that Xiao Qing likes them and hopes to eliminate misunderstandings. B. Yu Xuan chooses sunflowers because he wants to save money, sunflowers are cheaper than other flowers. C. Yu Xuan chooses sunflowers because his favorite flower is the sunflower. D. Yu Xuan chooses sunflowers because they look very fresh and healthy.</OPTIONS>
<QUESTION>###QUESTION: What do you think Xiao Qing's reaction is when she sees the sunflower?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Qing sees the sunflower and thinks Yu Xuan is too stingy, and she gets even more angry. B. Xiao Qing sees the sunflower and feels confused, she does not understand Yu Xuan's intention. C. Xiao Qing sees the sunflower and understands Yu Xuan's intention, she may be moved. D. Xiao Qing sees the sunflower and doesn't care, because she does not like flowers.</OPTIONS>",22-23,11
"Sakura is the leader of the group, and the group is carrying out an academic project. Komatsu and Nan are team members, they are currently competing in the competition and completing the work with Yi. Yi is a new transfer student, he has similar competition experience, he is quite shy. In the shared workspace, Komatsu and Nan are sharing their ideas, while Yi sits between them, quietly looking at the materials in his hands. Sakura sees this scene, smiles lightly, then whispers a few words to Komatsu and Nan, Komatsu and Nan both nod. Then, Sakura walks to Yi's side, pats his shoulder with a smile, says a few words, then walks away. Yi takes the initiative to look at Komatsu and Nan, finds that they are also looking at him.","<QUESTION>###QUESTION: Why does Sakura come over and pat Yi on the shoulder?</QUESTION>
<OPTIONS>###OPTION: A. Sakura wants to express affirmation of Yi's past competition results. B. Sakura is questioning why Yi does not participate in the discussion. C. Sakura is suggesting that Yi should discuss with Komatsu and Nan. D. Sakura is asking Yi about his understanding of each part of the materials in his hands.</OPTIONS>
<QUESTION>###QUESTION: What is Yi's possible mood now?</QUESTION>
<OPTIONS>###OPTION: A. Yi possibly feels very frustrated, because he thinks Sakura questions his ability. B. Yi possibly resents Sakura's reminder, he prefers to work alone. C. Yi possibly hesitates about Sakura's encouragement, but still prepares to act. D. Yi thinks Komatsu and Nanami lower the efficiency of completing the work.</OPTIONS>",24-25,12
"Minghan, Yulin, and Binbin are members of a research group, and they are conducting an important research topic. One day, they meet in the lab to discuss the progress of the project. Minghan keeps looking at his phone, not saying a word, but he occasionally glances at Yulin. Binbin buries his head in the experiment, and he sees Minghan's gaze at Yulin. Suddenly, Minghan winks at Yulin and points to his task materials, then he lowers his head to reply to the phone message. Yulin sees it, sneers, and continues to be busy with her work.","<QUESTION>###QUESTION: Why does Minghan wink at Yulin?</QUESTION>
<OPTIONS>###OPTION: A. Minghan winks at Yulin to tease her. B. Minghan hints at Yulin, hoping that Yulin can help him complete the work he cannot finish. C. Minghan easily handles the information in the phone, and is interested in Yulin's work. D. Minghan finds Binbin's funny mistake, and reminds Yulin to come and see.</OPTIONS>
<QUESTION>###QUESTION: How do you think Yulin views Minghan's behavior?</QUESTION>
<OPTIONS>###OPTION: A. Yulin finds Minghan's behavior interesting, she likes his sense of humor. B. Yulin does not notice Minghan's wink, she only focuses on her own work. C. Yulin despises Minghan's behavior, she does not want to deal with Minghan's request. D. Yulin is confused by Minghan's behavior, she does not know what he wants to express.</OPTIONS>",26-27,13
"Zhang Hua and Li Qiang are jointly responsible for a project, the performance of this project directly affects their promotion. Li Qiang frowns in front of the computer, the data analysis report in front of him seems to trouble him. Zhang Hua notices Li Qiang's appearance, walks over and says ""I also come to learn"", and enthusiastically asks about the project progress and difficulties. Li Qiang answers with some hesitation, seems to be reserved. During this process, Zhang Hua occasionally exchanges glances with Zhou Yan across the room, then Zhang Hua invites Li Qiang to go downstairs for dinner and a walk. After they leave, Zhou Yan immediately puts down her work, pretends to go to the bathroom, passes by Li Qiang's position, and looks at something.","<QUESTION>###QUESTION: Why does Zhang Hua ask Li Qiang about the project progress and difficulties?</QUESTION>
<OPTIONS>###OPTION: A. Zhang Hua does not understand these data, wants to learn from Li Qiang. B. Zhang Hua notices that Li Qiang encounters difficulties, wants to offer help. C. Zhang Hua and Li Qiang have personal grudges, wants to pick a quarrel. D. Zhang Hua wants to probe into Li Qiang's project progress.</OPTIONS>
<QUESTION>###QUESTION: What do you think Zhou Yan is thinking?</QUESTION>
<OPTIONS>###OPTION: A. Zhou Yan feels curious and wants to know what they are discussing. B. Zhou Yan feels bored and is not interested in their discussion. C. Zhou Yan feels eager and wants to seize the opportunity created by Zhang Hua. D. Zhou Yan feels scared and thinks Li Qiang and Zhang Hua are talking about her.</OPTIONS>",28-29,14
"QiQi, JunJun, and HanHan are all members of their community activity group. They are planning a new community service project. HanHan is a new member, he does not understand community service very well. One day, JunJun finds QiQi holding a detailed plan of the community service project they are planning. QiQi raises her eyebrows at JunJun, lightly shakes the plan in her hand, then turns to look at HanHan, as if hinting at something. QiQi quickly glances at JunJun, then hands the document to HanHan with a smile. HanHan cheerfully accepts the plan and starts to read.","<QUESTION>###QUESTION: Why does QiQi give the document to HanHan?</QUESTION>
<OPTIONS>###OPTION: A. QiQi needs HanHan to help revise the plan. B. QiQi wants HanHan to get into work mode. C. QiQi wants HanHan to play the role of the person in charge. D. QiQi hopes HanHan increases his involvement in the planning.</OPTIONS>
<QUESTION>###QUESTION: How does HanHan feel when he sees the document?</QUESTION>
<OPTIONS>###OPTION: A. HanHan feels annoyed, he gets assigned a new task again. B. HanHan feels happy, he thinks he understands the plan content. C. HanHan feels encouraged, he gets along well with his colleagues. D. HanHan feels confused, he does not understand what JunJun and QiQi mean.</OPTIONS>",30-31,15
"Luo Li has a deep passion for gardening, and he has some fame in the community because of this. Shao Qi is the organizer of community activities, and Zhi Hao is the person in charge of the community organization. One day, Shao Qi finds Zhi Hao and proposes to hold a garden party, and also suggests inviting Luo Li to introduce his gardening achievements. Zhi Hao hesitates a bit, but Shao Qi smiles at him and gives him a nod of affirmation. Later, after the party invitation goes out, Luo Li accepts the invitation.","<QUESTION>###QUESTION: Why does Shao Qi suggest inviting Luo Li in the proposal?</QUESTION>
<OPTIONS>###OPTION: A. Shao Qi hopes to let Zhi Hao publicly praise Luo Li's gardening skills. B. Shao Qi wants to test Luo Li to see if he is willing to share his gardening skills. C. Shao Qi thinks that inviting Luo Li helps to increase the attractiveness and influence of the party. D. Shao Qi hopes to become good friends with Luo Li by inviting him and improve her own gardening skills.</OPTIONS>
<QUESTION>###QUESTION: What do you think Zhi Hao thinks?</QUESTION>
<OPTIONS>###OPTION: A. Zhi Hao is very happy because he thinks Luo Li's arrival makes the party very successful. B. Zhi Hao feels a bit uneasy, he thinks inviting Luo Li might bring bad results. C. Zhi Hao feels depressed because he doesn't like Luo Li very much. D. Zhi Hao feels a bit troubled, he admires Luo Li but is not sure if Luo Li wants to participate in the party.</OPTIONS>",32-33,16
"In a clear morning, Morning Light is waiting for Dawn in the corridor. They are members of the study club, they plan to attract new members to join. Star is a new classmate who just transfers. Star is walking along the corridor. Morning Light sees Star, quickly glances at Dawn, then smiles at Star. Dawn understands the meaning of Morning Light's eyes, walks to Star with a nervous expression, and matches Morning Light's smile. After a brief conversation with Star, Star responds with a smile.","<QUESTION>###QUESTION: Why does Morning Light glance at Dawn after seeing Star?</QUESTION>
<OPTIONS>###OPTION: A. Because Morning Light notices that Dawn's attitude towards Star is a bit abnormal. B. To remind Dawn that Star is coming, do not block the way. C. To remind Dawn that the study club needs new members, and Star is suitable. D. To tell Dawn that Star is a new classmate, it is best to say hello.</OPTIONS>
<QUESTION>###QUESTION: Seeing their interaction as Star walks down the hallway, what do you think he feels?</QUESTION>
<OPTIONS>###OPTION: A. Feels surprised, he does not expect them to take the initiative to talk to him. B. Feels confused and curious, not clear about the meaning of their actions. C. Feels nervous, because he is new and is not ready to make friends with everyone. D. Feels very happy, because he thinks they might invite him to play.</OPTIONS>",34-35,17
"Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ring. He turns down the fire and goes to open the door, finding it is his friend Xiao Li. Xiao Li holds some movie tickets in his hand and invites Xiao Hua to watch a movie. Xiao Hua thinks for a moment and tells Xiao Li that he must finish dinner first. At this time, Xiao Hua's sister also runs over and says she can help cook, letting Xiao Hua go play. Xiao Hua looks at the half-cooked dinner in the kitchen and hesitates.","<QUESTION>###QUESTION: What does Xiao Hua do next after hearing Xiao Li's invitation?</QUESTION>
<OPTIONS>###OPTION: A. He continues to cook dinner. B. He accepts Xiao Li's invitation and goes to watch a movie. C. He lets his sister finish dinner and he rests. D. He goes to discuss with other friends whether to go to the movies.</OPTIONS>",36,18
"Zhang Wei is a diligent college student, he is studying in the library for the upcoming exam. Suddenly, he receives an urgent call from his good friend Li Hua, Li Hua needs help solving a difficult math problem. Zhang Wei is happy to help, but he also realizes that time is pressing, the exam is less than two days away. While he is helping Li Hua, his other friend Wang Fang sends a message, inviting him to a birthday party tonight. Zhang Wei knows this party is important to Wang Fang, but he also knows he needs to study.","<QUESTION>###QUESTION: After Zhang Wei helps Li Hua solve the math problem, what does he do next?</QUESTION>
<OPTIONS>###OPTION: A. He continues to study for the exam in the library. B. He goes home to rest because he feels very tired. C. He goes to Wang Fang's birthday party. D. He calls another friend to discuss whether to go to the party or not.</OPTIONS>",37,19
"Zhang Wei reads a book about astronomy in the library, he is full of curiosity about the mysteries of the universe. Suddenly, his good friend Li Hua sends a message, asking if he is still needed for the football match next week. Zhang Wei thinks for a while and replies to Li Hua. At this time, the library administrator comes over to remind Zhang Wei that the library is about to close, he needs to leave as soon as possible. It rains heavily outside, Zhang Wei worries that the way home is very difficult.","<QUESTION>###QUESTION: What is the most likely action of Zhang Wei before the library closes?</QUESTION>
<OPTIONS>###OPTION: A. He continues to read the astronomy book. B. He replies to Li Hua with more details about the football match. C. He packs up his things and prepares to leave the library. D. He checks the weather forecast on his phone, considering whether to wait for the rain to stop before leaving.</OPTIONS>",38,20
"Li Hua is a person who is passionate about outdoor adventures, and he goes hiking or camping every weekend. He always seeks fresh and exciting experiences. Wang Fang, a quiet librarian, spends her weekends in a quiet library, reading and organizing books. She likes a calm and orderly environment. This weekend, Li Hua invites Wang Fang to go out for the weekend.","<QUESTION>###QUESTION: Where does Li Hua plan to spend the weekend with Wang Fang?</QUESTION>
<OPTIONS>###OPTION: A. Hiking B. Library C. Sports Park D. Skiing</OPTIONS>",39,21
"Li Ming is a TV drama fan, especially likes to watch suspense and crime series. On the other hand, his roommate Zhao Li is a loyal fan of reality shows, she likes to watch various reality shows and lifestyle programs, thinks these programs are more close to life, relaxed and interesting. In the choice of TV programs, Li Ming always gives way to Zhao Li. Tonight, the two sit in the living room together, Li Ming expresses he wants to watch what he wants to watch, but there is only one TV, facing the choice of what type of program to watch.","<QUESTION>###QUESTION: That night, what type of TV program do Li Ming and Zhao Li most likely watch together?</QUESTION>
<OPTIONS>###OPTION: A. Challenge obstacle course reality show B. Suspense crime TV drama C. Exciting knowledge quiz program D. News report on criminal cases</OPTIONS>",40,22
"Lin Feng is a strict vegetarian, his diet is completely plant-based, he believes this lifestyle is beneficial to health and the environment. His friend Chen Nan, on the other hand, is a meat lover, his diet is dominated by meat, he believes meat is an important source of healthy eating and physical maintenance. Lin Feng plans to invite Chen Nan to participate in a certain activity.","<QUESTION>###QUESTION: What activity does Lin Feng most likely invite Chen Nan to participate in?</QUESTION>
<OPTIONS>###OPTION: A. Vegetarian cooking class B. Barbecue party C. Seafood festival D. Plant-based milk tasting event</OPTIONS>",41,23
"Xiao Hong is supposed to help her club prepare for this event, but she goes to visit a friend instead.","<QUESTION>###QUESTION: What kind of emotion does Xiao Hong's friend have?</QUESTION>
<OPTIONS>###OPTION: A. Angry B. Proud C. Grateful D. Regretful</OPTIONS>
<QUESTION>###QUESTION: What kind of emotion does the club member have?</QUESTION>
<OPTIONS>###OPTION: A. Angry B. Proud C. Grateful D. Regretful</OPTIONS>",42-43,24
"Xiao Li is a volunteer teacher, she teaches children in rural areas, so that children receive education, at the same time, she also sees the harsh teaching environment and the lack of resources.","<QUESTION>###QUESTION: What kind of emotion does Xiao Li have?</QUESTION>
<OPTIONS>###OPTION: A. Happy B. Angry C. Guilt D. Worry</OPTIONS>
<QUESTION>###QUESTION: What kind of emotion do rural children have?</QUESTION>
<OPTIONS>###OPTION: A. Happy B. Angry C. Guilt D. Worry</OPTIONS>",44-45,25
High school student Li Hua stays up until three in the morning to complete his homework. Li Hua's parents find that the light in Li Hua's room is still on.,"<QUESTION>###QUESTION: What kind of emotion does Li Hua have?</QUESTION>
<OPTIONS>###OPTION: A. Happy B. Worry C. Sadness D. Tired</OPTIONS>
<QUESTION>###QUESTION: What kind of emotion do Li Hua's parents have?</QUESTION>
<OPTIONS>###OPTION: A. Happy B. Worry C. Sadness D. Tired</OPTIONS>",46-47,26
"Emily finds a book she really wants to read in the library, but discovers that the book is already borrowed by someone else. Emily sees a book with a similar cover next to it, thinks it is the same book, and takes it away. After returning home, Emily realizes it is a different book, but is too lazy to return it. Meanwhile, Kate is busy working in the library. She knows this book belongs to a blind person who is waiting for this book. Kate, who is recently cheated by a blind person she does not know, notices that Emily takes the wrong book, but she chooses not to tell Emily.","<QUESTION>###QUESTION: What is the possible intention behind Emily's behavior?</QUESTION>
<OPTIONS>###OPTION: A. Emily possibly chooses not to return it due to negligence or thinking that this book is not important. B. Emily possibly takes it away without careful inspection because she is eager to read this book. C. Emily thinks this book belongs to the library, so there is no need to return it. D. Emily possibly mistakenly thinks she finds the book she wants, only realizing she takes the wrong one after returning home.</OPTIONS>",48,27
