INDEX,ABILITY,DATA_INDEX,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
10,Non-Literal Communication: Irony/Sarcasm,1,"Once, Cheng Wei takes his son to the mall and accompanies him to the children's playground. Suddenly, he sees a person leading a dog in. Cheng Wei asks this person, ""Don't you see the sign that says no pets are allowed?"" The other party appears very disdainful and has no intention of paying attention to Cheng Wei. At this moment, his son laughs and says to Cheng Wei, ""Dad, you are so silly, dogs don't know how to read.""",What does the son really mean when he says this?,The son is mocking this person for lacking social morality.,"The son is joking with his father, trying to lighten the mood.",The son likes dogs and hopes to have one.,The son wants to tell his father that dogs can't understand human language.,A
11,Intention: Intentions explanations,1,"Rebecca's birthday is coming soon. She says to her father, ""I like animals, especially dogs.""",What does Rebecca really mean when she says this?,Rebecca looks forward to visiting the zoo.,Rebecca hopes her father takes her to see dogs.,Rebecca hopes her father buys her a dog as a birthday gift.,"Rebecca desires to understand the habits of animals, especially dogs.",C
12,Intention: Intentions explanations,2,"Rebecca's birthday is coming soon. She says to her father, ""I like animals, especially dogs."" Rebecca continues, ""Dad, does the pet store open on my birthday?""",What does Rebecca hope her father does?,Rebecca hopes her father goes to the zoo with her.,Rebecca hopes her father tells her a story about dogs.,Rebecca hopes her father buys her a dog as a birthday gift.,Rebecca hopes her father helps her understand the opening hours of the pet store.,C
13,Intention: Intentions explanations,1,"Three-year-old Little Zhang and his father are shopping in the supermarket. They walk to the fruit stand and the following conversation happens between them: ""Dad, what is this?"" ""Banana."" ""Can kids eat it?""",What does Little Zhang really mean when he says this?,Little Zhang wants his dad to buy him a banana.,Little Zhang is curious about the environment of the fruit stand.,Little Zhang wants to know if children can eat bananas.,Little Zhang is curious about the taste of bananas.,A
14,Intention: Intentions explanations,1,"In a classmate gathering, while everyone is toasting and chatting, Xiao Zhang says to his friend Xiao Liu, ""I have to get up early tomorrow.""",What does Xiao Zhang really mean when he says this?,Xiao Zhang has important things to deal with tomorrow morning,Xiao Zhang likes to get up early for morning exercise,Xiao Zhang hints that he wants to leave now,Xiao Zhang is complaining to Xiao Liu about his busy life,C
15,Intention: Intentions explanations,1,"Hongjie goes to the bank to help a friend with some business. His friend is out of town. He gets the form that needs to be filled out from the staff and stops when he sees the signature column because it requires the person's own signature.\nHe asks the staff very straightforwardly: ""My friend is out of town, can I sign for him?""\nThe staff says: ""There is surveillance here, it is impossible for others to sign on behalf, go find the person to sign.""\nHe says anxiously: ""My friend really can't come back, please make it convenient.""\nThe staff still says: ""There is surveillance here, others can't sign on behalf, go find the person to sign.""",What does the staff really mean when he says this?,The staff is insisting that Hongjie must find his friend to come to the bank to sign.,The staff is hinting that Hongjie can sign for his friend after leaving the bank.,The staff is reconfirming the rule that the bank does not allow others to sign on behalf.,The staff is suggesting that Hongjie find a suitable signing tool.,B
16,Intention: Intentions explanations,1,"The command center of Liuzhou City Public Security Bureau suddenly receives a police call, a woman starts to say: ""I want to order two takeaways of crayfish, extra spicy, the address is 367 Wanping Road. Remember, you must remember to add spice, I want to eat extremely spicy.""",What does this woman really mean when she says this sentence?,The woman is very hungry and wants to quickly order two takeaways of crayfish.,"The woman expresses her strict requirement for the taste of crayfish takeaway, that is, she really likes spicy taste.",The woman may encounter an emergency situation and hopes to get police help.,The woman tries to order a dinner for the police station as a thank you.,C
17,Intention: Intentions explanations,1,"A science male student goes to a classroom to study every night, always sitting behind a girl he does not know. Gradually, the boy falls in love with the girl, but he never has the courage to confess. When his roommates know, they all encourage him. One night, the boy finally gathers the courage, writes a love letter, and gives it to the girl.\nThe girl looks at it for a while, packs up her study tools, turns around and says to the boy: I want to go back, what about you?",What does she really want to say when the girl says this sentence?,She indicates that she wants to go home and asks if the boy also wants to go home.,She hopes the boy understands that she needs to be alone.,She does not want to be with the boy.,She implies that she agrees with the boy's confession.,D
18,Non-Literal Communication: Irony/Sarcasm,1,"Mary is a very strict English teacher, she has very high requirements for students' essays. One day, she is correcting students' English essays, and she says to a student named Huang who is not performing well, ""Huang, your essay is as mysterious as the revelation.""",What does Mary really mean when she says this?,Huang's essay is extremely adventurous,Huang's essay is exceptionally profound,Huang's essay is very engaging,Huang's essay is vague,D
19,Intention: Intentions explanations,1,"Recently, Xiaohua comes back from abroad and attends a banquet. At the table, the host brings a lot of Maotai liquor. Not long after the start, Xiaohua's friend, the experienced wine taster Xiaozhang, takes a sip of the Maotai on the table and says, ""Maotai is different, it tastes good."", then finds an excuse to switch to red wine.",What does Xiaozhang really mean when he says this?,"Xiaozhang likes to drink red wine, not Maotai",Xiaozhang thinks the quality of Maotai is better than red wine,Xiaozhang hints that the host's Maotai may not be real,Xiaozhang thinks the variety of wines at this banquet should be more diverse,C
20,Non-Literal Communication: Irony/Sarcasm,1,"One day, the principal, after correcting the homework, finds that the students' grades are not very good, so he writes in the WeChat group of school teachers: ""Teachers, I look at the students' homework today, I really don't think they are so modest, no one does it all right.""",What is the real meaning when the principal says this?,The principal thinks the students are very modest,The principal is reminding teachers to pay attention to improving teaching methods,The principal pays attention to and cares about students' homework,The principal feels regret because no one can do all the homework right,B
21,Non-Literal Communication: Irony/Sarcasm,1,"Li Ming is a fifth-grade elementary school student who recently falls in love with a popular electronic game. Because the game is too captivating, he spends a lot of time on this game every day. One day, his mother says to Li Ming who is playing the game, ""Your game level improves rapidly recently.""",What does she really mean when she says these words?,Mother really enjoys watching Li Ming play games.,Mother wants Li Ming to teach her how to play this game.,Mother feels happy about the improvement of Li Ming's game level.,Mother hints that Li Ming spends too much time on the game recently.,D
22,Intention: Intentions explanations,1,"Newly joined Xiao Wang and the old section chief stand guard together at the epidemic control point. The guard duty is not heavy, but the old section chief feels very tired after standing for half a day. Unfortunately, the equipment at the control point is simple, there is only one stool. The old section chief says to Xiao Wang, ""Comrade Xiao Wang, you also stand for half a day, there is only one stool, you sit for a while.""",What is the real intention of the old section chief when he says this?,The old section chief hopes Xiao Wang gives him the stool to sit.,The old section chief cares about Xiao Wang's health and hopes Xiao Wang sits down to rest.,The old section chief wants to give the sitting time to Xiao Wang and chooses to stand himself.,The old section chief hopes to initiate a conversation about the condition of the work equipment.,A
23,Knowledge: Knowledge-pretend play links,1,"In a space station on the orbit of a distant planet, a robot named Tinklo lives. This space station has an artificial environment, there is no form of plant life inside, so Tinklo does not understand any plant-related information. However, the space station is full of various mechanical devices and robots. Tinklo is performing imitation behavior: it sways from side to side, occasionally bends to the ground, these actions are similar to flowers swaying in the wind and people smelling flowers.",What does Tinklo possibly imitate?,Sunflowers swaying in the wind.,A robot bending over to pick up objects.,A person smelling a rose.,A windmill with rotating blades.,B
24,Knowledge: Knowledge-pretend play links,1,"In a small advanced research laboratory in space, located near the asteroid belt, there is a robot named Pixel. This laboratory is isolated, unable to contact the earth's environment or animals. Therefore, Pixel knows nothing about the creatures on land. However, the laboratory equips with many floating spherical drones that move smoothly and quickly in the air. Pixel is performing imitation behavior: it glides smoothly in the room, stops to hover for a moment, then quickly changes direction, reminding people of hummingbirds shuttling between flowers.",What does Pixel possibly imitate?,A hummingbird hovering near flowers.,A drone moving in the laboratory.,A butterfly dancing between flowers.,A bee moving between plants.,B
25,Knowledge: Knowledge-pretend play links,1,"In a future city named Solaris, a robot named Plexi lives on a floating platform high in the clouds. Solaris, as a city in the sky, has no land creatures, so Plexi knows nothing about these creatures. However, Solaris is full of flying drones and high-tech gadgets. Plexi is engaging in mimicry: it darts around quickly, suddenly stops, and then charges in different directions. Its movements are agile and fast, similar to a small and energetic animal, such as a playing cat and a squirrel looking for food.",What does Plexi possibly mimic?,A mouse that runs quickly and suddenly stops.,A drone that is carrying out a mission.,A cat playing with toys.,A squirrel that charges around when looking for nuts.,B
26,Knowledge: Knowledge-pretend play links,1,"In a quaint village located in the clouds of a distant planet Aeria, a robot named Breezo lives. Aeria is a unique world, without any plant life, which means Breezo knows nothing about them. However, the village is full of quirky wind machines and all kinds of kites. Breezo is engaging in imitation behavior: it extends its arms and spins quickly, just like a leaf spins quickly after the wind sweeps it away.",What is Breezo possibly imitating?,A leaf swept away by the whirlwind,A kite losing balance,A flower turning towards the sun,The rotating blades of a windmill,B
27,Knowledge: Knowledge-pretend play links,1,"Rizo is a small, curious robot, living on the distant planet Lumina, which is famous for its vast deserts. There are no large mammals on Lumina, so Rizo knows nothing about these creatures. However, a variety of insects, reptiles, and birds live on this planet. Rizo is engaging in imitation behavior: it paces back and forth, occasionally raises its head and makes a mechanical call, somewhat similar to a lion's roar.",What is Rizo possibly imitating?,Giant turtle,Lion,Lizard,Camel,C
28,Emotion: Moral emotions,1,"Emily finds a book she really wants to read in the library, but discovers the book is already borrowed by someone else. Emily sees a book with a similar cover next to it, thinks it is the same book, and takes it away. When she gets home, Emily realizes it is a different book, but she is too lazy to return it. At the same time, Kate is busy working in the library. She knows this book belongs to a blind person who is waiting for this book. Kate gets tricked by a blind person she doesn't know not long ago, she notices Emily takes the wrong book, but she chooses not to tell Emily.",What kind of emotion does Emily feel after she realizes she takes the wrong book and decides not to return it?,"Emily possibly feels indifferent, because she finds a book she wants to read, and she doesn't want to bother herself to go back and return the book.","Emily possibly feels frustrated, because she can't read the book she originally wants to read.","Emily possibly feels guilty and uneasy, because she knows she takes the wrong book, but she doesn't want to take the trouble to return it.","Emily possibly feels satisfied, because she thinks she accidentally finds a new book, and considers this as a kind of luck.",A
29,Emotion: Moral emotions,1,"Li Lei forgets his laptop in the library. Han Meimei volunteers at the library, finds this computer, but thinks it is a donated old computer, so she puts it in the donation box. Li Hua sees it, he knows this is Li Lei's computer, but he is always the second in the class, always falls behind Li Lei by one place, he thinks that as long as Li Lei does not have a computer, he cannot review his homework, deliberately does not tell Han Meimei the truth. When Li Lei comes back to look for the computer, he still does not find the computer, he feels very anxious and lost. Han Meimei only knows that she has mishandled Li Lei's laptop when Li Lei asks her.",What kind of emotion does Han Meimei possibly feel after she knows that she has mishandled Li Lei's laptop?,"Han Meimei possibly feels proud and satisfied, because she thinks she is helping the library handle donated items.","Han Meimei possibly feels indifferent, because handling donated items is part of her daily work.","Han Meimei possibly thinks that putting the computer in the donation box is the right action, so she feels happy and relieved even if she knows the truth.","Han Meimei realizes that her mistake possibly causes trouble for Li Lei, so she possibly feels guilty.",D
30,Emotion: Moral emotions,1,"In a busy coffee shop, Lisa, the waitress, accidentally bumped into a coffee cup placed at the edge of a table while rushing around, causing coffee to splash onto Bob's company documents. Unaware of the incident, Lisa continued her work. At the same time, Bob was paying at the counter and did not see his documents getting stained. The shop owner, who witnessed the entire scene, chose not to inform Bob because he was often irritated by Bob's rude behavior towards the staff and thought Bob deserved a minor punishment. After Bob left, the shop owner gleefully told Lisa about her accidental revenge on Bob.","The shop owner knows that Lisa ruins Bob's contract, but he doesn't tell Bob in time to let him make amends, what kind of emotion does the shop owner feel?","The shop owner possibly feels unhappy, because he thinks Bob is their important customer.","The shop owner possibly feels guilty and regretful, because he misses the chance to tell Bob, causing Bob unable to make amends in time.","The shop owner possibly feels satisfied and complacent, because he thinks he punishes Bob's rude behavior in some form.","The shop owner possibly feels indifferent, because he thinks the damage to the contract has nothing to do with him, and doesn't need to take any action.",C
31,Emotion: Moral emotions,1,"Li Na is a passionate community volunteer, often helps to organize community activities. One day, she is in charge of collecting donated clothes and categorizes them into packages. Ali is her assistant, due to a misunderstanding, he mistakenly packs the clothes that a resident specifically marks for a specific charity into the general donation box. Mark knows the special significance of these clothes, but because he has a personal grudge with that resident, he does not tell Li Na and Ali. When the resident asks, Li Na feels confused, and Ali starts to check if there is a mistake, finally finds out it is his own mistake.",What kind of emotion does Ali feel after realizing that he might have mishandled the specially marked clothes?,Ali possibly feels proud because he thinks he helps to complete an important task.,Ali possibly feels indifferent because he does not know the special mark of the clothes.,Ali possibly feels confused because he is not sure if he really makes a mistake.,Ali possibly feels regret and anxiety because he unintentionally ruins the special donation intention of the clothes.,D
32,Emotion: Moral emotions,1,"Lia is a great chef, in a cooking competition, she prepares a special dish. Sam is her assistant, he adds seasoning to the dish according to Lia's instructions, but he adds the wrong seasoning halfway. At the same time, Chris is Lia's opponent, he knows about Sam's mistake, but decides not to tell anyone. After the competition results come out, Lia's dish gets high praise from the judges because of its unique taste, but Lia herself feels confused about this unexpected change.","Chris knows that Sam adds the wrong seasoning, but does not tell anyone, what kind of emotion does he feel?","Chris possibly feels worried, concerned about the fairness of the competition.","Chris possibly feels indifferent, because he thinks the competition result has nothing to do with him.","Chris possibly feels secretly pleased and hopeful, because this mistake may let him win the competition.","Chris possibly feels confused, unsure whether he should intervene.",C
33,Emotion: Moral emotions,1,"Xiao Ming and Xiao Gang are good friends, one day they go to the mountain for an adventure together. On the mountain top, they find a very cute puppy, Xiao Ming likes dogs very much, so he takes it home to raise. Xiao Gang knows this puppy belongs to the old man Wang Da Ye in the village, because he sees Wang Da Ye often walks the dog outside, but he chooses not to tell Xiao Ming, because he does not want Xiao Ming to feel disappointed. Later, Wang Da Ye finds his dog is missing and asks the children in the village, finally he knows it is taken away by Xiao Ming.",What kind of emotion does Xiao Ming feel after he knows this dog belongs to Wang Da Ye?,"Xiao Ming possibly feels guilty and regretful, because he takes away someone else's pet unintentionally.","Xiao Ming possibly feels happy, because he gets a cute puppy.","Xiao Ming possibly feels indifferent, because he likes that puppy very much.","Xiao Ming possibly feels confused, because he is not sure whether he should return the dog to Wang Da Ye.",A
34,Emotion: Moral emotions,1,"Xiao Hua and Xiao Qiang went to the zoo together and found the rabbits very cute. There were carrots for sale at the zoo's ticket booth for visitors to feed the rabbits. Xiao Qiang, however, took out a bag of carrots that he had prepared in advance, but he didn't tell Xiao Hua that the carrots were his own and not purchased from the booth. The zookeepers do not recommend that visitors feed the animals with their own food. After they left, they overheard a zookeeper saying that the rabbits were very popular and had eaten too much. As they were leaving, Xiao Qiang revealed that the carrots they had fed the rabbits were the ones he had brought.","Xiao Hua does not tell Xiao Qiang about the zoo's rule against feeding, what kind of emotion does he feel?","Xiao Hua possibly feels happy, because he thinks Xiao Qiang feeding the rabbit is an act of expressing love.","Xiao Hua possibly feels guilty and anxious, because he does not tell Xiao Qiang the rules of the zoo, which leads to the adverse reaction of the rabbit.","Xiao Hua possibly feels indifferent, because he thinks Xiao Qiang feeding the rabbit does not lead to serious consequences.","Xiao Hua possibly feels confused, because he is unsure whether he should tell Xiao Qiang the rules of the zoo in this situation.",B
35,Intention: Discrepant intentions,1,"Emily finds a book she really wants to read in the library, but discovers that the book is already borrowed by someone else. Emily sees a book with a similar cover next to it, thinks it is the same book, and takes it away. After returning home, Emily realizes it is a different book, but is too lazy to return it. Meanwhile, Kate is busy working in the library. She knows this book belongs to a blind person who is waiting for this book. Kate, who is recently cheated by a blind person she does not know, notices that Emily takes the wrong book, but she chooses not to tell Emily.",What is the possible intention behind Emily's behavior?,Emily possibly chooses not to return it due to negligence or thinking that this book is not important.,Emily possibly takes it away without careful inspection because she is eager to read this book.,"Emily thinks this book belongs to the library, so there is no need to return it.","Emily possibly mistakenly thinks she finds the book she wants, only realizing she takes the wrong one after returning home.",D
36,Intention: Discrepant intentions,1,"In a coffee shop, Lisa, as a waitress, accidentally bumps into the coffee cup on the edge of the table in the midst of her busy work, and the coffee splashes onto Bob's company contract, but Lisa is unaware. Bob is right next to the counter paying the bill and does not see the contract is ruined, and the shop owner happens to see this scene, but he chooses not to tell Bob because Bob just yells at the waitress. After Bob leaves, the shop owner tells Lisa about the mistake she unintentionally makes, and Lisa then knows she accidentally ruins Bob's important document.",What is the possible intention behind the shop owner's behavior?,The shop owner is disgusted by Bob's rude attitude and uses this as an unspoken punishment for his impolite behavior.,The shop owner may choose not to reveal the truth because he worries about getting himself into trouble.,The shop owner may choose to remain silent for fear that telling Bob will cause a conflict.,"The shop owner may think that Bob will notice the contract situation himself, so he chooses not to interfere.",A
37,Intention: Discrepant intentions,1,"James shows his painting at the school art exhibition. One day, he forgets to take the painting home. Nick, while cleaning the exhibition room, mistakes the painting for an abandoned one and puts it in the discard box. At the same time, Ella knows this is James's work. Ella's own painting also shows at the art exhibition, and she does not want James's painting to be more popular than hers, so she decides not to tell Nick. When James finds the painting is missing, he feels very upset and starts asking classmates. Later, Nick realizes he may have mishandled James's painting.",What is the possible intention behind Ella's behavior?,"Ella possibly chooses to remain silent out of jealousy of James's talent, hoping to see him in trouble.",Ella possibly does not have time to tell Nick that James's painting is mishandled due to her busy work.,"Ella thinks Nick realizes his mistake and corrects it on his own, so she chooses not to tell him.","Ella possibly looks down on James's painting, thinking it should not be displayed in the art exhibition.",A
38,Intention: Discrepant intentions,1,"Li Hua is a student who loves plants, and he plants some rare flowers in the school garden. Zhao Min loves photography very much, and she takes pictures of these flowers when she passes by the school garden. Zhang Wei sees Zhao Min taking pictures of the flowers without permission, but because he knows Zhao Min has a difficult family situation and photography is her only hobby, he does not stop her. When Li Hua finds out that someone takes pictures of his flowers and posts them on social media without permission, he starts asking people around him. In the end, Zhao Min finds out that the flowers belong to Li Hua and admits her behavior.",What is the possible intention behind Zhao Min's behavior?,Zhao Min possibly wants to showcase her photography works on social media to increase her popularity.,Zhao Min possibly feels jealous of Li Hua's flowers and wants to diminish his sense of achievement by taking and publicizing these flowers.,"Zhao Min's behavior possibly stems from her love for photography, and she may not realize the impropriety of taking pictures of other people's property without permission.",Zhao Min takes pictures of the flowers because she plans to steal these photos for online sales.,C
39,Intention: Discrepant intentions,1,"Li Ming is a resident who cares about the community, he plants a precious fruit tree in the community park, but he forgets to water the fruit tree. Wang Gang mistakenly thinks this tree is a sick tree, decides to cut it down to prevent the disease from spreading. Zhao Li is Li Ming's neighbor, she sees Wang Gang's behavior, but because she has a personal grudge with Li Ming, she keeps silent. When Li Ming finds out the tree is cut, he feels very sad, and starts to ask people around. In the end, Wang Gang realizes he may have misjudged the situation.",What is the possible intention of Zhao Li not stopping Wang Gang's behavior?,"Zhao Li may be out of revenge, hoping to cause trouble for Li Ming.",Zhao Li may choose not to intervene because she is afraid of conflict with Wang Gang.,Zhao Li may think that Wang Gang realizes his mistake and corrects it on his own.,Zhao Li may choose not to interfere because she thinks Wang Gang's behavior is reasonable.,A
40,Intention: Discrepant intentions,1,"Xiaohua and Xiaoqiang go to the zoo together, they see a little rabbit and think it is very cute, and Xiaoqiang also feeds the rabbit a carrot. Xiaohua knows that the zoo does not allow feeding animals with food from unknown sources, but he does not tell Xiaoqiang. After they leave, they hear the zookeeper say that the rabbit shows adverse reactions, Xiaohua then steps forward to ask, and realizes the impropriety of his behavior.",What is the possible intention of Xiaoqiang feeding the rabbit a carrot?,"Xiaoqiang wants to experience interaction with cute animals by feeding them, to get a sense of satisfaction.",Xiaoqiang is testing the rabbit's reaction to carrots.,Xiaoqiang possibly does not know and is not aware that he is breaking the rules.,Xiaoqiang hopes to express his care for animals by feeding the rabbit.,C
41,Intention: Discrepant intentions,1,"Xiao Ming and Xiao Gang are good friends, one day they go to the mountain for an adventure together. On the top of the mountain, they find a very cute puppy, Xiao Ming likes dogs very much, so he takes it home to raise. Xiao Gang knows that this puppy belongs to the old man Wang in the village, but he chooses to keep silent. Later, when Wang finds out his dog is missing and asks the children in the village, he finally knows that Xiao Ming takes it away.",What is the possible intention of Xiao Gang not telling Xiao Ming the real owner of the puppy?,Xiao Gang possibly chooses not to tell the truth because he fears Xiao Ming's reaction.,Xiao Gang possibly thinks Xiao Ming finds out the truth by himself.,Xiao Gang possibly thinks Wang Da Ye finds other puppies.,"Xiao Gang possibly does not want to disappoint Xiao Ming, so he chooses to be silent.",D
42,Intention: Completion of failed actions,1,"Xiao Hua is in the kitchen preparing dinner when suddenly he hears the doorbell ring. He turns down the fire and goes to open the door, finding it is his friend Xiao Li. Xiao Li holds some movie tickets in his hand and invites Xiao Hua to watch a movie. Xiao Hua thinks for a moment and tells Xiao Li that he must finish dinner first. At this time, Xiao Hua's sister also runs over and says she can help cook, letting Xiao Hua go play. Xiao Hua looks at the half-cooked dinner in the kitchen and hesitates.",What does Xiao Hua do next after hearing Xiao Li's invitation?,He continues to cook dinner.,He accepts Xiao Li's invitation and goes to watch a movie.,He lets his sister finish dinner and he rests.,He goes to discuss with other friends whether to go to the movies.,B
43,Intention: Completion of failed actions,1,"Zhang Wei is a diligent college student, he is studying in the library for the upcoming exam. Suddenly, he receives an urgent call from his good friend Li Hua, Li Hua needs help solving a difficult math problem. Zhang Wei is happy to help, but he also realizes that time is pressing, the exam is less than two days away. While he is helping Li Hua, his other friend Wang Fang sends a message, inviting him to a birthday party tonight. Zhang Wei knows this party is important to Wang Fang, but he also knows he needs to study.","After Zhang Wei helps Li Hua solve the math problem, what does he do next?",He continues to study for the exam in the library.,He goes home to rest because he feels very tired.,He goes to Wang Fang's birthday party.,He calls another friend to discuss whether to go to the party or not.,A
44,Intention: Completion of failed actions,1,"Zhang Wei reads a book about astronomy in the library, he is full of curiosity about the mysteries of the universe. Suddenly, his good friend Li Hua sends a message, asking if he is still needed for the football match next week. Zhang Wei thinks for a while and replies to Li Hua. At this time, the library administrator comes over to remind Zhang Wei that the library is about to close, he needs to leave as soon as possible. It rains heavily outside, Zhang Wei worries that the way home is very difficult.",What is the most likely action of Zhang Wei before the library closes?,He continues to read the astronomy book.,He replies to Li Hua with more details about the football match.,He packs up his things and prepares to leave the library.,"He checks the weather forecast on his phone, considering whether to wait for the rain to stop before leaving.",C
45,Belief: Location false beliefs,1,"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.",Where is the cabbage now?,Backpack,Handbag,Tote bag,Briefcase,A
46,Belief: Location false beliefs,2,"Xiaogang and Xiaoming are wandering in the bedroom, they see a handbag, a briefcase, and a backpack, they find cabbage in the handbag, Xiaoming leaves the bedroom, Xiaogang moves the cabbage to the backpack.",Where is the cabbage before?,Tote bag,Handbag,Briefcase,Backpack,B
